23407 DEBUG [2016-03-07 03:08:02]  Returning cached instance of singleton bean 'org.springframework.web.servlet.handler.MappedInterceptor#5'
23407 DEBUG [2016-03-07 03:08:02]  Looking for URL mappings in application context: WebApplicationContext for namespace 'dispatcher-servlet': startup date [Mon Mar 07 03:07:56 CST 2016]; parent: Root WebApplicationContext
23407 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'homePageController': no URL paths identified
23407 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'p2PUserOrderController': no URL paths identified
23407 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'p2pUserOrderService': no URL paths identified
23407 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'pawnPersonInfoController': no URL paths identified
23407 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'tenderController': no URL paths identified
23407 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'tenderListController': no URL paths identified
23407 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'paginationUtils': no URL paths identified
23407 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'addressInfoController': no URL paths identified
23407 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'userAddressController': no URL paths identified
23407 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'addressInfoService': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'uploadController': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'shoppingCartModifierController': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'userFavouriteController': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'orderService': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'priceOrderService': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'productBrowseTrackService': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'recommendService': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'responseBuilderFactory': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'shoppingCartConfiguration': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'shoppingCartService': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'userFavouriteService': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'userOrderService': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'baseCategoryController': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'categoryHelper': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'categoryServiceImp': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'cityController': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'cityService': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'breadBuilder': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'bannerServiceImpl': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'hotSearchServiceImpl': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'imageServiceImpl': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'consultingController': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'discussController': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'consultingServiceImpl': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'discussServiceImpl': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'ESConfiguration': no URL paths identified
23408 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'importDataService': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'migrateDataListener': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'migrateDataService': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'errorController': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'helpCenterController': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'helpCenterServiceImp': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'newsServiceImp': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'hotProductHelper': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'hotProductServiceImp': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'createIndexController': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'alipayController': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'alipayService': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'yeePayController': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'inventoryService': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'friendlyLinkServiceImpl': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'loanController': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'loanService': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'mailService': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'mediaHelper': no URL paths identified
23409 DEBUG [2016-03-07 03:08:02]  Rejected bean name 'mediaServiceImp': no URL paths identified
